standard_name,description_brief,external_details_URL,summary
REACTOME_INTERLEUKIN_6_SIGNALING,Interleukin-6 signaling,https://www.reactome.org/content/detail/R-HSA-1059683,"Interleukin-6 (IL-6) is a pleiotropic cytokine with roles in processes including immune regulation, hematopoiesis, inflammation, oncogenesis, metabolic control and sleep.  It is the founding member of a family of IL-6-related cytokines such as IL-11, IL-27 leukemia inhibitory factor (LIF), cilliary neurotrophic factor (CNTF) and oncostatin M. The IL-6 receptor (IL6R) consists of an alpha subunit that specifically binds IL-6 and a beta subunit, IL6RB or gp130, which is the signaling component of all the receptors for cytokines related to IL-6. IL6R alpha exists in transmembrane and soluble forms. The transmembrane form is mainly expressed by hepatocytes, neutrophils, monocytes/macrophages, and some lymphocytes. Soluble forms of IL6R (sIL6R) are also expressed by these cells. Two major mechanisms for the production of sIL6R have been proposed. Alternative splicing generates a transcript lacking the transmembrane domain by using splicing donor and acceptor sites that flank the transmembrane domain coding region. This also introduces a frameshift leading to the incorporation of 10 additional amino acids at the C terminus of sIL6R.A second mechanism for the generation of sIL6R is the proteolytic cleavage or 'shedding' of membrane-bound IL-6R. Two proteases ADAM10 and ADAM17 are thought to contribute to this (Briso et al. 2008). sIL6R can bind IL6 and stimulate cells that express gp130 but not IL6R alpha, a process that is termed trans-signaling. This explains why many cells, including hematopoietic progenitor cells, neuronal cells, endothelial cells, smooth muscle cells, and embryonic stem cells, do not respond to IL6 alone, but show a remarkable response to IL6/sIL6R. It is clear that the trans-signaling pathway is responsible for the pro-inflammatory activities of IL-6 whereas the membrane bound receptor governs regenerative and anti-inflammatory IL-6 activitiesIL6R signal transduction is mediated by two pathways:the JAK-STAT (Janus family tyrosine kinase-signal transducer and activator of transcription) pathway and the Ras-MAPK (mitogen-activated protein kinase) pathway. Negative regulators of IL-6 signaling include SOCS (suppressor of cytokine signals) and SHP2. Within the last few years different antibodies have been developed to inhibit IL-6 activity, and the first such antibodies have been introduced into the clinic for the treatment of inflammatory diseases (Kopf et al. 2010). "
REACTOME_APOPTOSIS,Apoptosis,https://www.reactome.org/content/detail/R-HSA-109581,"Apoptosis is a distinct form of cell death that is functionally and morphologically different from necrosis. Nuclear chromatin condensation, cytoplasmic shrinking, dilated endoplasmic reticulum, and membrane blebbing characterize apoptosis in general. Mitochondria remain morphologically unchanged. In 1972 Kerr et al introduced the concept of apoptosis as a distinct form of ""cell-death"", and the mechanisms of various apoptotic pathways are still being revealed today. The two principal  pathways of apoptosis are (1) the Bcl-2 inhibitable or intrinsic pathway induced by various forms of stress like intracellular damage, developmental cues, and external stimuli and (2) the caspase 8/10 dependent or extrinsic pathway initiated by the engagement of death receptors The caspase 8/10 dependent or extrinsic pathway is a death receptor mediated mechanism that results in the activation of caspase-8 and caspase-10. Activation of death receptors like Fas/CD95, TNFR1, and the TRAIL receptor is promoted by the TNF family of ligands including FASL (APO1L OR CD95L), TNF, LT-alpha, LT-beta, CD40L, LIGHT, RANKL, BLYS/BAFF, and APO2L/TRAIL. These ligands are released  in response to microbial infection, or as part of the cellular, humoral immunity responses during the formation of lymphoid organs, activation of dendritic cells, stimulation or survival of T, B, and natural killer (NK) cells, cytotoxic response to viral infection or oncogenic transformation.  The Bcl-2 inhibitable or intrinsic pathway of apoptosis is a stress-inducible process, and acts through the activation of caspase-9 via Apaf-1 and cytochrome c. The rupture of the mitochondrial membrane, a rapid process involving some of the Bcl-2 family proteins, releases these molecules into the cytoplasm. Examples of cellular processes that may induce the intrinsic pathway in response to various damage signals include: auto reactivity in lymphocytes, cytokine deprivation, calcium flux or cellular damage by cytotoxic drugs like taxol, deprivation of nutrients like glucose and growth factors like EGF, anoikis, transactivation of target genes by tumor suppressors including p53. In many non-immune cells, death signals initiated by the extrinsic pathway are amplified by connections to the intrinsic pathway. The connecting link appears to be the truncated BID (tBID) protein a proteolytic cleavage product mediated by caspase-8 or other enzymes."
REACTOME_HEMOSTASIS,Hemostasis,https://www.reactome.org/content/detail/R-HSA-109582,"Hemostasis is a physiological response that culminates in the arrest of bleeding from an injured vessel. Under normal conditions the vascular endothelium supports vasodilation, inhibits platelet adhesion and activation, suppresses coagulation, enhances fibrin cleavage and is anti-inflammatory in character. Under acute vascular trauma, vasoconstrictor mechanisms predominate and the endothelium becomes prothrombotic, procoagulatory and proinflammatory in nature. This is achieved by a reduction of endothelial dilating agents: adenosine, NO and prostacyclin; and by the direct action of ADP, serotonin and thromboxane on vascular smooth muscle cells to elicit their contraction (Becker et al. 2000). The chief trigger for the change in endothelial function that leads to the formation of a haemostatic thrombus is the loss of the endothelial cell barrier between blood and extracellular matrix components (Ruggeri 2002). Circulating platelets identify and discriminate areas of endothelial lesions; here, they adhere to the exposed sub endothelium. Their interaction with the various thrombogenic substrates and locally generated or released agonists results in platelet activation. This process is described as possessing two stages, firstly, adhesion -  the initial tethering to a surface, and secondly aggregation - the platelet-platelet cohesion (Savage &amp; Cattaneo et al. 2001).Three mechansism contribute to the loss of blood following vessel injury. The vessel constricts, reducing the loss of blood. Platelets adhere to the site of injury, become activated and aggregate with fibrinogen into a soft plug that limits blood loss, a process termed primary hemostasis. Proteins and small molecules are released from granules by activated platelets,  stimulating the plug formation process. Fibrinogen from plasma forms bridges between activated platelets. These events initiate the clotting cascade (secondary hemostasis). Negatively-charged phospholipids exposed at the site of injury and on activated platelets interact with tissue factor, leading to a cascade of reactions that culminates with the formation of an insoluble fibrin clot."
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,Intrinsic Pathway for Apoptosis,https://www.reactome.org/content/detail/R-HSA-109606,"The intrinsic (Bcl-2 inhibitable or mitochondrial) pathway of apoptosis functions in response to various types of intracellular stress including growth factor withdrawal, DNA damage, unfolding stresses in the endoplasmic reticulum and death receptor stimulation. Following the reception of stress signals, proapoptotic BCL-2 family proteins are activated and subsequently interact with and inactivate antiapoptotic BCL-2 proteins. This interaction leads to the destabilization of the mitochondrial membrane and release of apoptotic factors.  These factors induce the caspase proteolytic cascade, chromatin condensation, and DNA fragmentation, ultimately leading to cell death. The key players in the Intrinsic pathway are the Bcl-2 family of proteins that are critical death regulators residing immediately upstream of mitochondria. The Bcl-2 family consists of both anti- and proapoptotic members that possess conserved alpha-helices with sequence conservation clustered in BCL-2 Homology (BH) domains. Proapoptotic members are organized as follows:  1. ""Multidomain"" BAX family proteins such as BAX, BAK etc. that display sequence conservation in their BH1-3 regions. These proteins act downstream in mitochondrial disruption.  2. ""BH3-only"" proteins such as BID,BAD, NOXA, PUMA,BIM, and BMF have only the short BH3 motif. These act upstream in the pathway, detecting developmental death cues or intracellular damage. Anti-apoptotic members like Bcl-2, Bcl-XL and their relatives exhibit homology in all segments BH1-4. One of the critical functions of BCL-2/BCL-XL proteins is to maintain the integrity of the mitochondrial outer membrane."
REACTOME_MAPK3_ERK1_ACTIVATION,MAPK3 (ERK1) activation,https://www.reactome.org/content/detail/R-HSA-110056,Mitogen-activated protein kinase kinase MAP2K1 (also known as MEK1) is a dual threonine and tyrosine recognition kinase that phosphorylates and activates MAPK3 (ERK1) (Ohren et al. 2004; Roskoski 2012a). 
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,https://www.reactome.org/content/detail/R-HSA-110313,"Ubiquitous environmental and endogenous genotoxic agents cause DNA lesions that can interfere with normal DNA metabolism including DNA replication, eventually resulting in mutations that lead to carcinogenesis and/or cell death. Cells possess repair mechanisms like nucleotide excision and base excision repair pathways to maintain the integrity of the genome. However, some types of lesions are repaired very inefficiently and others may not be recognized and repaired before the lesion-containing DNA undergoes DNA replication. To prevent acute cell death through arrested DNA replication at unrepaired lesions, cells have a mechanism, referred to as translesion synthesis (TLS), which allows DNA synthesis to proceed past lesions. TLS depends on the Y family of DNA polymerases (Lindahl and Wood 1999, Masutani et al. 2000, Yang 2014)."
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,Recognition of DNA damage by PCNA-containing replication complex,https://www.reactome.org/content/detail/R-HSA-110314,"Damaged double strand DNA (dsDNA) cannot be successfully used as a template by replicative DNA polymerase delta (POLD) and epsilon (POLE) complexes (Hoege et al. 2002). When the replication complex composed of PCNA, RPA, RFC and POLD or POLE stalls at a DNA damage site, PCNA becomes monoubiquitinated by RAD18 bound to UBE2B (RAD6). POLD or POLE dissociate from monoubiquitinated PCNA, while Y family DNA polymerases - REV1, POLH (DNA polymerase eta), POLK (DNA polymerase kappa) and POLI (DNA polymerase iota) - bind monoubiquitinated PCNA through their ubiquitin binding and PCNA binding motifs, resulting in a polymerase switch and initiation of translesion synthesis (TLS) (Hoege et al. 2002, Friedberg et al. 2005). "
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,Translesion Synthesis by POLH,https://www.reactome.org/content/detail/R-HSA-110320,"DNA polymerase eta (POLH) consists of 713 amino acids and can bypass thymidine-thymidine dimers, correctly adding two dAMPs opposite to the lesion. Mutations in the POLH gene result in the loss of this bypass activity and account for the XP variant phenotype (XPV) in human xeroderma pigmentosum disorder patients. POLH can carry out TLS past various UV and chemically induced lesions via two steps: (a) preferential incorporation of correct bases opposite to the lesion (b) conditional elongation only at the sites where such correct bases are inserted (Masutani et al. 1999, Masutani et al. 2000)."
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,Recognition and association of DNA glycosylase with site containing an affected purine,https://www.reactome.org/content/detail/R-HSA-110330,"The recognition and removal of an altered base by a DNA glycosylase is thought to involve the diffusion of the enzyme along the minor grove of the DNA molecule. The enzyme  presumably compresses the backbone of the affected DNA strand at the site of damage. This compression is thought to result in an outward rotation of the damaged residue  into a ""pocket"" of the enzyme that recognizes and cleaves the altered base from the backbone (Slupphaug et al. 1996, Parikh et al. 1998)."
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,Displacement of DNA glycosylase by APEX1,https://www.reactome.org/content/detail/R-HSA-110357,"Following cleavage of the damaged base, DNA glycosylase is displaced by APEX1, an AP endonuclease (Parikh et al. 1998)."
